qstn,answer,categories
What is the capital of France?,Paris,"Geography, Europe"
What is 2 + 2?,4,"Math, Arithmetic"
"Who wrote ""To Kill a Mockingbird""?",Harper Lee,"Literature, Books"
What is the chemical symbol for water?,H2O,"Science, Chemistry"
In which year did the Titanic sink?,1912,History
What is the tallest mountain in the world?,Mount Everest,"Geography, Nature"
Who painted the Mona Lisa?,Leonardo da Vinci,"Art, History"
What is the formula for calculating the area of a circle?,πr^2,"Math, Geometry"
Name one of the seven wonders of the ancient world.,Great Pyramid of Giza,"History, Architecture"
What is the powerhouse of the cell?,Mitochondria,"Biology, Science"
Who is credited with inventing the lightbulb?,Thomas Edison,"Inventions, History"
What is the capital of Japan?,Tokyo,"Geography, Asia"
Which planet is known as the Red Planet?,Mars,"Astronomy, Science"
Who wrote the play "Romeo and Juliet"?,William Shakespeare,"Literature, Drama"
What is the speed of light in a vacuum?,"299,792,458 meters per second","Physics, Science"
